trait	ancestry	source_consortium	citation_first_author_year	doi	n_total	n_cases	n_controls	phenotype_definition	build_grch	download_url	expected_filename	checksum_available	cohort_overlap_notes	mtag_overlap_correction_required	sample_source_cohort	dua_required	status
BMI	EUR	GIANT-UKBB	Yengo 2018	10.1093/hmg/ddy271	681275			continuous BMI inverse-rank-normal	37	https://portals.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files	Meta-analysis_Locke_et_al+UKBiobank_2018_UPDATED.txt.gz	yes	UKB ~450k + GIANT meta ~230k (HUNT, deCODE, ARIC, FHS, many); MASSIVE overlap with Evangelou BP (UKB), GBMI asthma (UKB), Aragam CAD (UKB), MAGIC HbA1c (UKB), GLGC lipids (UKB), CKDGen (UKB), GIGASTROKE (UKB), DIAMANTE (UKB)	yes	UKB, deCODE, HUNT, ARIC, FHS	no	to_download
BMI	EUR	GIANT-23andMe	Loh 2022 (Nat Commun)	10.1038/s41467-022-35553-2	1108983			continuous BMI inverse-rank-normal	38	https://www.nature.com/articles/s41467-022-35553-2	GWAS-Catalog-GCST90275125-to-be-confirmed	unknown	GIANT + 23andMe (23andMe contributes ~2M but BMI restricted subset ~1.1M); UKB included; overlap with Evangelou, Aragam, GBMI, MAGIC, GLGC, CKDGen, GIGASTROKE, DIAMANTE	yes	GIANT, 23andMe, UKB	no	to_download
BMI	AFR	GIANT-23andMe	Loh 2022 (Nat Commun)	10.1038/s41467-022-35553-2	100000			continuous BMI inverse-rank-normal	38	https://www.nature.com/articles/s41467-022-35553-2	GWAS-Catalog-AFR-ancestry-subset	unknown	AFR cohorts include PAGE (CARe, WHI-SHARe, HCHS/SOL-AFR), MVP-AFR, 23andMe-AFR; limited UKB-AFR; modest overlap with Aragam-AFR (MVP), MAGIC-AFR (PAGE), GLGC-AFR (PAGE)	yes	PAGE, MVP-AFR, 23andMe-AFR	no	to_download
BMI	AFR	PAGE	Wojcik 2019	10.1038/s41586-019-1310-4	49335			continuous BMI inverse-rank-normal	37	https://www.ebi.ac.uk/gwas/publications/31217584	PAGE_BMI_AFR_ALL_2019-06.tsv	unknown	PAGE multi-ethnic cohort (MEC, WHI, HCHS/SOL, BioMe, HISTH, ARIC-AFR); some overlap with MAGIC-AFR (HCHS/SOL) and GLGC-AFR (HCHS/SOL)	yes	PAGE (MEC, WHI, HCHS/SOL, BioMe)	no	to_download
T2D	TRANS	DIAMANTE	Mahajan 2022	10.1038/s41588-022-01058-3	1339889	180834	1159055	doctor-diagnosed T2D case-control (harmonized across contributing GWAS)	37	https://diagram-consortium.org/downloads.html	DIAMANTE-TA.sumstat.txt.gz	yes	Trans-ancestry meta across EUR + EAS + SAS + AFR + HIS components; UKB-EUR included; BBJ-EAS included; overlap with GIANT BMI (UKB), Aragam CAD (UKB + partial), MAGIC HbA1c (UKB + BBJ), CKDGen (UKB), GIGASTROKE (UKB)	yes	UKB, BBJ, MVP, AGEN, SIGMA, many	no	to_download
T2D	EUR	DIAMANTE	Mahajan 2022	10.1038/s41588-022-01058-3	933970	80154	853816	doctor-diagnosed T2D case-control	37	https://diagram-consortium.org/downloads.html	DIAMANTE-EUR.sumstat.txt.gz	yes	EUR component includes UKB, 70K-for-T2D, deCODE, FinnGen-partial; HEAVY overlap with all other EUR sources	yes	UKB, deCODE, 70K-for-T2D	no	to_download
T2D	AFR	DIAMANTE	Mahajan 2022	10.1038/s41588-022-01058-3	50251	29014	21237	doctor-diagnosed T2D case-control	37	https://diagram-consortium.org/downloads.html	DIAMANTE-AFR.sumstat.txt.gz (pending release per DIAGRAM)	unknown	AFR component from MVP-AFR, AADM, WGHS-AFR, PAGE-AFR; overlap with Aragam CAD-AFR (MVP), GLGC-AFR (PAGE), BMI-AFR PAGE partial	yes	MVP-AFR, AADM, PAGE	no	dua_pending
T2D	EAS	DIAMANTE	Mahajan 2022	10.1038/s41588-022-01058-3	283423	56268	227155	doctor-diagnosed T2D case-control	37	https://diagram-consortium.org/downloads.html	DIAMANTE-EAS.sumstat.txt.gz	yes	EAS component from AGEN-T2D, BBJ, KoGES; BBJ overlap with GBMI-EAS (BBJ), MAGIC-EAS (BBJ partial)	yes	BBJ, AGEN, KoGES	no	to_download
T2D	SAS	DIAMANTE	Mahajan 2022	10.1038/s41588-022-01058-3	40856	16540	34316	doctor-diagnosed T2D case-control	37	https://diagram-consortium.org/downloads.html	DIAMANTE-SAS.sumstat.txt.gz	yes	SAS component from SAT2D, LOLIPOP, PROMIS; minimal overlap with other traits	no	SAT2D, LOLIPOP, PROMIS	no	to_download
T2D	HIS	DIAMANTE	Mahajan 2022	10.1038/s41588-022-01058-3	31389	8150	23239	doctor-diagnosed T2D case-control	37	https://diagram-consortium.org/downloads.html	DIAMANTE-HIS.sumstat.txt.gz (pending release per DIAGRAM)	unknown	HIS component from SIGMA, HCHS/SOL, MEC-HIS, MVP-HIS; partial overlap with MAGIC-HIS (HCHS/SOL), GLGC-HIS (HCHS/SOL)	yes	SIGMA, HCHS/SOL, MVP-HIS	no	dua_pending
hypertension	EUR	Evangelou-ICBP-UKBB	Evangelou 2018	10.1038/s41588-018-0205-x	757601			SBP continuous (mmHg), medication-adjusted	37	https://www.ebi.ac.uk/gwas/studies/GCST006624	Evangelou_30224653_SBP.gz	unknown	UKB + ICBP meta (ARIC, FHS, CHS, WHI, HUNT, MGI, many); HEAVY overlap with all UKB-containing sources	yes	UKB, ICBP (many cohorts)	no	already_downloaded
