	bmi.AFR.PAGE.2019	bmi.EUR.GIANT-UKBB.2018	cad.EAS.Aragam.2022	cad.TRANS.Aragam.2022	egfr.EUR.CKDGen.2019	egfr.TRANS.CKDGen.2019	ldl.EUR.GLGC.2021	sbp.EUR.Evangelou-ICBP-UKBB.2018	stroke.AFR.GIGASTROKE.2022	stroke.EAS.GIGASTROKE.2022	stroke.EUR.GIGASTROKE.2022	stroke.TRANS.GIGASTROKE.2022
bmi.AFR.PAGE.2019	1.0	0.0442	-0.0032	-0.0048	-0.0011	-0.0018	0.0011	-0.0069	0.0027	0.0024	0.0002	0.0021
bmi.EUR.GIANT-UKBB.2018	0.0442	1.0	0.0496	0.0574	-0.0019	-0.0035	0.0507	0.0032	-0.0017	0.0048	-0.0021	-0.0009
cad.EAS.Aragam.2022	-0.0032	0.0496	1.0	0.9192	-0.0106	-0.0325	0.0494	0.0486	0.0022	0.0015	0.0588	0.049
cad.TRANS.Aragam.2022	-0.0048	0.0574	0.9192	1.0	-0.0143	-0.0148	0.0469	0.0446	0.0046	0.0046	0.0596	0.0516
egfr.EUR.CKDGen.2019	-0.0011	-0.0019	-0.0106	-0.0143	1.0	0.8806	-0.0218	-0.0178		0.0095	0.0046	0.0057
egfr.TRANS.CKDGen.2019	-0.0018	-0.0035	-0.0325	-0.0148	0.8806	1.0	-0.018	-0.0195	-0.0017	-0.0039	0.0016	-0.0014
ldl.EUR.GLGC.2021	0.0011	0.0507	0.0494	0.0469	-0.0218	-0.018	1.0	0.047532	0.0058472	-8.1021e-05	0.0013505	0.0051051
sbp.EUR.Evangelou-ICBP-UKBB.2018	-0.0069	0.0032	0.0486	0.0446	-0.0178	-0.0195	0.047532	1.0		0.0177	0.0445	0.0428
stroke.AFR.GIGASTROKE.2022	0.0027	-0.0017	0.0022	0.0046		-0.0017	0.0058472		1.0	0.0016	0.0209	0.2732
stroke.EAS.GIGASTROKE.2022	0.0024	0.0048	0.0015	0.0046	0.0095	-0.0039	-8.1021e-05	0.0177	0.0016	1.0	-0.0024	0.6331
stroke.EUR.GIGASTROKE.2022	0.0002	-0.0021	0.0588	0.0596	0.0046	0.0016	0.0013505	0.0445	0.0209	-0.0024	1.0	0.8385
stroke.TRANS.GIGASTROKE.2022	0.0021	-0.0009	0.049	0.0516	0.0057	-0.0014	0.0051051	0.0428	0.2732	0.6331	0.8385	1.0
