	bmi.AFR.PAGE.2019	bmi.EUR.GIANT-UKBB.2018	cad.EAS.Aragam.2022	cad.TRANS.Aragam.2022	egfr.EUR.CKDGen.2019	egfr.TRANS.CKDGen.2019	hdl.AFR.GLGC.2021	hdl.EUR.GLGC.2021	hdl.TRANS.GLGC.2021	ldl.AFR.GLGC.2021	ldl.EAS.GLGC.2021	ldl.EUR.GLGC.2021	ldl.HIS.GLGC.2021	ldl.SAS.GLGC.2021	ldl.TRANS.GLGC.2021	sbp.EUR.Evangelou-ICBP-UKBB.2018	stroke.AFR.GIGASTROKE.2022	stroke.EAS.GIGASTROKE.2022	stroke.EUR.GIGASTROKE.2022	stroke.TRANS.GIGASTROKE.2022	tc.AFR.GLGC.2021	tc.EUR.GLGC.2021	tc.TRANS.GLGC.2021	tg.AFR.GLGC.2021	tg.EUR.GLGC.2021	tg.TRANS.GLGC.2021
bmi.AFR.PAGE.2019	1.0	0.0442	-0.0032	-0.0048	-0.0011	-0.0018	-0.0261	0.0078	-0.0134	0.0094	0.0062	0.0011	0.0022	0.0038	0.0077	-0.0069	0.0027	0.0024	0.0002	0.0021	0.001	0.0076	0.0115	0.0214	-0.0026	0.0136
bmi.EUR.GIANT-UKBB.2018	0.0442	1.0	0.0496	0.0574	-0.0019	-0.0035	-0.0101	-0.1992	-0.1766	0.0022	0.0149	0.0507	-0.0078	-0.0019	0.0449	0.0032	-0.0017	0.0048	-0.0021	-0.0009	0.0007	0.0098	0.0087	0.0062	0.1951	0.168
cad.EAS.Aragam.2022	-0.0032	0.0496	1.0	0.9192	-0.0106	-0.0325	-0.0124	-0.0691	-0.0698	0.0058	0.015	0.0494	0.0079	0.0046	0.0484	0.0486	0.0022	0.0015	0.0588	0.049	0.0037	0.0329	0.0362	0.0164	0.0616	0.0609
cad.TRANS.Aragam.2022	-0.0048	0.0574	0.9192	1.0	-0.0143	-0.0148	-0.0116	-0.074	-0.0708	0.0075	0.0045	0.0469	0.0068	0.0076	0.0444	0.0446	0.0046	0.0046	0.0596	0.0516	0.0046	0.0288	0.0313	0.0132	0.063	0.0592
egfr.EUR.CKDGen.2019	-0.0011	-0.0019	-0.0106	-0.0143	1.0	0.8806	0.0003	0.015	0.0127	-0.0023	0.0001	-0.0218	0.0044	-0.0069	-0.0205	-0.0178		0.0095	0.0046	0.0057	-0.0024	-0.0329	-0.0306	0.0054	-0.0375	-0.0325
egfr.TRANS.CKDGen.2019	-0.0018	-0.0035	-0.0325	-0.0148	0.8806	1.0	0.0072	0.0118	0.0202	-0.0025	-0.0102	-0.018	-0.0022	-0.0091	-0.0243	-0.0195	-0.0017	-0.0039	0.0016	-0.0014	-0.003	-0.0298	-0.0351	-0.0012	-0.0343	-0.0391
hdl.AFR.GLGC.2021	-0.0261	-0.0101	-0.0124	-0.0116	0.0003	0.0072	1.0	0.0284	0.3791	-0.0885	-0.0046	0.0005	0.0038	-0.0001	-0.0278	-0.0024	-0.0281	-0.0043	-0.0025	-0.0092	0.1164	0.006	0.0451	-0.4591	-0.0197	-0.172
hdl.EUR.GLGC.2021	0.0078	-0.1992	-0.0691	-0.074	0.015	0.0118	0.0284	1.0	1.0193	-0.0014	-0.0033	-0.0455	0.0078	-0.0035	-0.036	-0.0111		-0.0022	-0.0241	-0.0229	0.0045	0.1696	0.1484	-0.0291	-0.5746	-0.515
hdl.TRANS.GLGC.2021	-0.0134	-0.1766	-0.0698	-0.0708	0.0127	0.0202	0.3791	1.0193	1.0	-0.0238	0.0158	-0.04	0.0078	0.0381	-0.0294	-0.0138	-0.0151	-0.0033	-0.0237	-0.0259	0.0504	0.1475	0.1835	-0.1756	-0.5004	-0.5702
ldl.AFR.GLGC.2021	0.0094	0.0022	0.0058	0.0075	-0.0023	-0.0025	-0.0885	-0.0014	-0.0238	1.0	0.0012	0.0274	0.034	0.006	0.3725	0.0066	0.0157	0.0018	-0.003	0.0023	0.9371	0.0294	0.3289	0.2624	0.0073	0.0912
ldl.EAS.GLGC.2021	0.0062	0.0149	0.015	0.0045	0.0001	-0.0102	-0.0046	-0.0033	0.0158	0.0012	1.0	0.0196	0.0035	0.0081	0.3139	0.0035	0.0051	0.0032	-0.0069	-0.0034	-0.0009	0.0174	0.2516	-0.0008	0.008	0.0505
ldl.EUR.GLGC.2021	0.0011	0.0507	0.0494	0.0469	-0.0218	-0.018	0.0005	-0.0455	-0.04	0.0274	0.0196	1.0	0.021009	0.026237	0.98422	0.047532	0.0058472	-8.1021e-05	0.0013505	0.0051051	0.030823	1.0106	0.87819	0.016302	0.30893	0.27565
ldl.HIS.GLGC.2021	0.0022	-0.0078	0.0079	0.0068	0.0044	-0.0022	0.0038	0.0078	0.0078	0.034	0.0035	0.021009	1.0	0.0027	0.2134	-0.0105		0.0016	-0.0031	-0.0027	0.0361	0.0254	0.1842	-0.0023	0.0004	0.0329
ldl.SAS.GLGC.2021	0.0038	-0.0019	0.0046	0.0076	-0.0069	-0.0091	-0.0001	-0.0035	0.0381	0.006	0.0081	0.026237	0.0027	1.0	0.2149	0.0018	-0.0022	0.0021	0.004	0.004	0.0054	0.0287	0.1858	0.0017	0.0105	0.0331
ldl.TRANS.GLGC.2021	0.0077	0.0449	0.0484	0.0444	-0.0205	-0.0243	-0.0278	-0.036	-0.0294	0.3725	0.3139	0.98422	0.2134	0.2149	1.0	0.0424	0.0094	0.0013	0.0003	0.005	0.3324	0.8787	1.0217	0.0987	0.2701	0.2997
sbp.EUR.Evangelou-ICBP-UKBB.2018	-0.0069	0.0032	0.0486	0.0446	-0.0178	-0.0195	-0.0024	-0.0111	-0.0138	0.0066	0.0035	0.047532	-0.0105	0.0018	0.0424	1.0		0.0177	0.0445	0.0428	0.0097	0.0646	0.0607	0.0001	0.0678	0.0602
stroke.AFR.GIGASTROKE.2022	0.0027	-0.0017	0.0022	0.0046		-0.0017	-0.0281		-0.0151	0.0157	0.0051	0.0058472		-0.0022	0.0094		1.0	0.0016	0.0209	0.2732	0.011	0.0058	0.0091	0.0501	0.009	0.0314
stroke.EAS.GIGASTROKE.2022	0.0024	0.0048	0.0015	0.0046	0.0095	-0.0039	-0.0043	-0.0022	-0.0033	0.0018	0.0032	-8.1021e-05	0.0016	0.0021	0.0013	0.0177	0.0016	1.0	-0.0024	0.6331	0.0004	0.0028	0.004	0.0055	0.0113	0.0144
stroke.EUR.GIGASTROKE.2022	0.0002	-0.0021	0.0588	0.0596	0.0046	0.0016	-0.0025	-0.0241	-0.0237	-0.003	-0.0069	0.0013505	-0.0031	0.004	0.0003	0.0445	0.0209	-0.0024	1.0	0.8385	-0.0008	-0.0004	-0.0036	0.0121	0.021	0.0195
stroke.TRANS.GIGASTROKE.2022	0.0021	-0.0009	0.049	0.0516	0.0057	-0.0014	-0.0092	-0.0229	-0.0259	0.0023	-0.0034	0.0051051	-0.0027	0.004	0.005	0.0428	0.2732	0.6331	0.8385	1.0	0.0034	0.0041	0.0035	0.0226	0.0257	0.0335
