ancestry	region	exact	flipped	dropped_ambiguous	dropped_palindromic	dropped_mismatch	dropped_unusable	reject	n_catalog	n_panel
EUR	ACE_AGT_1q42__tile1	9138	6	2040	1689	0	2	NA	12621	12621
EUR	ACE_AGT_1q42__tile2	9774	4	2979	1907	0	5	NA	14353	14353
EUR	ACE_AGT_1q42__tile3	9993	8	3004	1987	0	1	NA	14589	14589
EUR	ANGPTL3_1p31_1__tile1	9430	0	1451	1689	0	1	NA	12391	12391
EUR	APOE_19q13__tile1	9120	8	2206	1770	0	2	NA	12836	12836
EUR	APOE_19q13__tile2	8111	2	1925	1590	0	0	NA	11413	11413
EUR	APOL1_22q12__tile1	2654	599	0	527	74	0	NA	6996	2704
EUR	APOL1_22q12__tile2	2256	509	0	406	65	0	NA	5954	2271
EUR	APOL1_MYH9_block_22q12q13__tile1	7721	2	2006	1492	0	0	NA	10981	10981
EUR	APOL1_MYH9_block_22q12q13__tile2	8244	4	1546	1454	0	0	NA	11050	11050
EUR	APOL1_MYH9_block_22q12q13__tile3	2139	443	0	410	59	0	NA	5557	2123
EUR	ATP2B1_12q21_33__tile1	758	184	0	177	17	0	NA	2181	817
EUR	ATP2B1_12q21_33__tile2	803	243	0	171	20	0	NA	2184	914
EUR	ATP2B1_12q21_33__tile3	784	201	0	160	21	0	NA	2309	904
EUR	ATP2B1_12q21_33__tile4	716	223	0	176	21	0	NA	2363	878
EUR	ATP2B1_12q21_33__tile5	736	196	0	155	18	0	NA	2538	847
EUR	ATP2B1_12q21_33__tile6	688	197	0	145	16	0	NA	2529	784
EUR	BDNF_11p14__tile1	793	208	0	141	13	0	NA	2107	957
EUR	BDNF_11p14__tile2	835	191	0	159	15	0	NA	2307	995
EUR	BDNF_11p14__tile3	842	178	0	155	21	0	NA	2228	981
EUR	BDNF_11p14__tile4	751	213	0	180	22	0	NA	2233	1016
EUR	BDNF_11p14__tile5	842	184	0	179	13	0	NA	2346	1063
EUR	BDNF_11p14__tile6	771	180	0	158	16	0	NA	2303	1006
EUR	BMI_5q13_3__tile1	5895	4	1017	1121	0	6	NA	7909	7909
EUR	BMI_5q13_3__tile10	7457	6	1850	1559	0	7	NA	10629	10629
EUR	BMI_5q13_3__tile11	6720	4	1740	1312	0	7	NA	9589	9589
EUR	BMI_5q13_3__tile12	6420	0	1184	1140	0	15	NA	8629	8629
EUR	BMI_5q13_3__tile2	6214	2	1403	1214	0	9	NA	8622	8622
EUR	BMI_5q13_3__tile3	6282	2	1331	1213	0	10	NA	8642	8642
EUR	BMI_5q13_3__tile4	7173	4	1865	1385	0	10	NA	10199	10199
EUR	BMI_5q13_3__tile5	7220	0	1761	1425	0	16	NA	10194	10194
EUR	BMI_5q13_3__tile6	7189	6	1531	1306	0	12	NA	9852	9852
EUR	BMI_5q13_3__tile7	6606	2	1246	1269	0	4	NA	8975	8975
EUR	BMI_5q13_3__tile8	6888	2	1284	1326	0	4	NA	9298	9298
EUR	BMI_5q13_3__tile9	6193	2	1321	1235	0	5	NA	8566	8566
EUR	BMI_Xq24__tile1	19932	0	0	3282	0	0	NA	23214	23214
EUR	CDKAL1_6p22_3__tile1	705	217	0	130	22	0	NA	1955	922
EUR	CDKAL1_6p22_3__tile2	739	184	0	135	18	0	NA	1955	899
EUR	CDKAL1_6p22_3__tile3	702	215	0	144	9	0	NA	1849	855
EUR	CDKN2A_B_9p21__tile1	6690	2	1711	1984	0	2	NA	10042	10042
EUR	CDKN2A_B_9p21__tile2	5515	4	1426	1439	0	1	NA	8146	8146
EUR	CDKN2A_B_9p21__tile3	6530	2	1645	1675	0	2	NA	9602	9602
EUR	CDKN2A_B_9p21__tile4	6508	6	1544	1636	0	2	NA	9426	9426
EUR	CXADR_F2RL1_6p21__tile1	6532	4	1721	1434	0	1	NA	9472	9472
EUR	CXADR_F2RL1_6p21__tile2	5502	2	1328	1166	0	2	NA	7814	7814
EUR	CXADR_F2RL1_6p21__tile3	5583	6	1608	1109	0	2	NA	8102	8102
EUR	CXADR_F2RL1_6p21__tile4	5401	4	1662	1145	0	3	NA	7995	7995
EUR	CXADR_F2RL1_6p21__tile5	5397	2	1606	1064	0	2	NA	7897	7897
EUR	CYP17A1_NT5C2_10q24__tile1	5096	4	713	902	0	0	NA	6623	6623
EUR	CYP17A1_NT5C2_10q24__tile2	5594	0	996	989	0	1	NA	7480	7480
EUR	CYP17A1_NT5C2_10q24__tile3	5800	4	1157	1147	0	0	NA	7960	7960
