track_a_region	region	exact	flipped	den	flipped_pct	n_catalog	n_panel
APOL1_22q12	APOL1_22q12__tile1	2654	599	3253	18.4138	6996	2704
APOL1_22q12	APOL1_22q12__tile2	2256	509	2765	18.4087	5954	2271
CXADR_F2RL1_6p21	CXADR_F2RL1_6p21__tile1	6532	4	6536	0.0612	9472	9472
CXADR_F2RL1_6p21	CXADR_F2RL1_6p21__tile2	5502	2	5504	0.0363	7814	7814
CXADR_F2RL1_6p21	CXADR_F2RL1_6p21__tile3	5583	6	5589	0.1074	8102	8102
CXADR_F2RL1_6p21	CXADR_F2RL1_6p21__tile4	5401	4	5405	0.074	7995	7995
CXADR_F2RL1_6p21	CXADR_F2RL1_6p21__tile5	5397	2	5399	0.037	7897	7897
FTO_16q12	FTO_16q12	1673	867	2540	34.1339	18428	1473
FTO_16q12	FTO_16q12__tile1	2690	698	3388	20.6021	6897	3095
FTO_16q12	FTO_16q12__tile2	2825	680	3505	19.4009	6992	3171
MC4R_18q21	MC4R_18q21__tile1	6820	4	6824	0.0586	9370	9370
MC4R_18q21	MC4R_18q21__tile2	7321	6	7327	0.0819	10078	10078
SH2B3_12q24	SH2B3_12q24__tile1	5407	0	5407	0	7163	7163
SH2B3_12q24	SH2B3_12q24__tile2	5114	0	5114	0	6892	6892
SH2B3_12q24	SH2B3_12q24__tile3	1305	333	1638	20.3297	3675	1514
