region_id	ancestry	region_class	window_span_mb	n_var	routed_path	est_block_count	est_output_gib	over_threshold
m2_region_00001	AFR	medium	13.4969	102421	A.3	338.0	20.980122482	True
m2_region_00001	EUR	medium	13.4969	52622	A.3	84.5	5.538149768	False
m2_region_00002	AFR	large	46.2487	322864	A.3	3120.5	208.482324992	True
m2_region_00002	EUR	large	46.2487	172853	A.3	924.5	59.756319218	True
m2_region_00003	AFR	small	3.8079	28551	A.1	24.5	1.630319202	False
m2_region_00003	EUR	small	3.8079	15270	A.1	8.0	0.4663458	False
m2_region_00004	AFR	small	3.9823	28619	A.1	24.5	1.638094322	False
m2_region_00004	EUR	small	3.9823	15945	A.1	8.0	0.50848605	False
m2_region_00005	AFR	large	33.8375	243805	A.3	1800.0	118.88175605	True
m2_region_00005	EUR	large	33.8375	135319	A.3	578.0	36.622463522	True
m2_region_00006	AFR	medium	17.6971	122678	A.3	450.0	30.099783368	True
m2_region_00006	EUR	medium	17.6971	65902	A.3	144.5	8.686147208	False
m2_region_00007	AFR	small	3.0051	13677	A.1	8.0	0.374120658	False
m2_region_00007	EUR	small	3.0051	9094	A.1	4.5	0.165401672	False
m2_region_00008	AFR	large	32.7841	207147	A.3	1300.5	85.819759218	True
m2_region_00008	EUR	large	32.7841	112329	A.3	392.0	25.235608482	True
m2_region_00009	AFR	medium	11.3961	80915	A.3	200.0	13.09447445	True
m2_region_00009	EUR	medium	11.3961	43634	A.3	60.5	3.807851912	False
m2_region_00010	AFR	medium	5.6484	42044	A.2	60.5	3.535395872	False
m2_region_00010	EUR	medium	5.6484	24130	A.2	18.0	1.1645138	False
m2_region_00011	AFR	medium	21.4956	154753	A.3	722.0	47.896982018	True
m2_region_00011	EUR	medium	21.4956	85425	A.3	220.5	14.59486125	True
m2_region_00012	AFR	medium	15.9461	116773	A.3	420.5	27.271867058	True
m2_region_00012	EUR	medium	15.9461	65114	A.3	128.0	8.479665992	False
m2_region_00013	AFR	medium	8.0358	68267	A.2	144.5	9.320766578	False
m2_region_00013	EUR	medium	8.0358	39884	A.2	50.0	3.181466912	False
m2_region_00014	AFR	medium	7.4118	65543	A.2	144.5	8.591769698	False
m2_region_00014	EUR	medium	7.4118	35612	A.2	40.5	2.536429088	False
m2_region_00015	AFR	medium	10.7557	99302	A.3	312.5	19.721774408	True
m2_region_00015	EUR	medium	10.7557	57439	A.3	112.5	6.598477442	False
m2_region_00016	AFR	large	26.2206	224951	A.3	1512.5	101.205904802	True
m2_region_00016	EUR	large	26.2206	121011	A.3	450.0	29.287324242	True
m2_region_00017	AFR	small	1.0528	7088	A.1	2.0	0.100479488	False
m2_region_00017	EUR	small	1.0528	4666	A.1	2.0	0.043543112	False
m2_region_00018	AFR	small	4.5646	32205	A.1	32.0	2.07432405	False
m2_region_00018	EUR	small	4.5646	19003	A.1	12.5	0.722228018	False
m2_region_00019	AFR	medium	9.6539	70446	A.2	162.0	9.925277832	True
m2_region_00019	EUR	medium	9.6539	37636	A.2	50.0	2.832936992	False
m2_region_00020	AFR	medium	10.3842	83308	A.3	220.5	13.880445728	True
m2_region_00020	EUR	medium	10.3842	48357	A.3	72.0	4.676798898	False
m2_region_00021	AFR	medium	16.3774	123224	A.3	480.5	30.368308352	True
m2_region_00021	EUR	medium	16.3774	66930	A.3	144.5	8.9592498	False
m2_region_00022	AFR	large	25.0306	174957	A.3	924.5	61.219903698	True
m2_region_00022	EUR	large	25.0306	99218	A.3	312.5	19.688423048	True
m2_region_00023	AFR	medium	21.5321	172823	A.3	924.5	59.735578658	True
m2_region_00023	EUR	medium	21.5321	93919	A.3	264.5	17.641557122	True
m2_region_00024	AFR	small	2.8559	24151	A.1	18.0	1.166541602	False
m2_region_00024	EUR	small	2.8559	14503	A.1	8.0	0.420674018	False
m2_region_00025	AFR	medium	19.727	160201	A.3	800.0	51.328720802	True
m2_region_00025	EUR	medium	19.727	89337	A.3	242.0	15.962199138	True
m2_region_00026	AFR	small	3.5421	32725	A.1	32.0	2.14185125	False
m2_region_00026	EUR	small	3.5421	17629	A.1	12.5	0.621563282	False
m2_region_00027	AFR	medium	16.8583	129258	A.3	512.0	33.415261128	True
m2_region_00027	EUR	medium	16.8583	72846	A.3	162.0	10.613079432	True
m2_region_00028	AFR	medium	13.6982	77071	A.3	180.5	11.879878082	True
m2_region_00028	EUR	medium	13.6982	42285	A.3	60.5	3.57604245	False
m2_region_00029	AFR	large	25.6749	185910	A.3	1058.0	69.1250562	True
m2_region_00029	EUR	large	25.6749	98689	A.3	312.5	19.479037442	True
m2_region_00030	AFR	small	2.2019	17676	A.1	12.5	0.624881952	False
m2_region_00030	EUR	small	2.2019	9805	A.1	4.5	0.19227605	False
m2_region_00031	AFR	small	2.6345	17533	A.1	12.5	0.614812178	False
m2_region_00031	EUR	small	2.6345	10351	A.1	4.5	0.214286402	False
m2_region_00032	AFR	medium	5.0127	40820	A.2	50.0	3.3325448	False
m2_region_00032	EUR	medium	5.0127	22593	A.2	18.0	1.020887298	False
m2_region_00033	AFR	small	2.5685	19317	A.1	12.5	0.746292978	False
m2_region_00033	EUR	small	2.5685	10377	A.1	4.5	0.215364258	False
m2_region_00034	AFR	medium	10.4339	88457	A.3	242.0	15.649281698	True
m2_region_00034	EUR	medium	10.4339	50146	A.3	84.5	5.029242632	False
m2_region_00035	AFR	small	2.8547	20565	A.1	18.0	0.84583845	False
m2_region_00035	EUR	small	2.8547	11169	A.1	4.5	0.249493122	False
m2_region_00036	AFR	large	26.0204	198851	A.3	1200.5	79.083440402	True
m2_region_00036	EUR	large	26.0204	108874	A.3	364.5	23.707095752	True
m2_region_00037	AFR	medium	7.6869	62218	A.2	128.0	7.742159048	False
m2_region_00037	EUR	medium	7.6869	33764	A.2	40.5	2.280015392	False
m2_region_00038	AFR	medium	21.4904	167562	A.3	840.5	56.154047688	True
m2_region_00038	EUR	medium	21.4904	96229	A.3	288.0	18.520040882	True
m2_region_00039	AFR	small	3.9483	37179	A.1	50.0	2.764556082	False
m2_region_00039	EUR	small	3.9483	19896	A.1	12.5	0.791701632	False
m2_region_00040__sub00	AFR	medium	7.9348	64176	A.2	96.78913390738867	6.228621191149087	False
m2_region_00040__sub00	EUR	medium	9.9348	42536	A.2	60.5	3.618622592	False
m2_region_00040__sub01	AFR	medium	10.9348	79142	A.3	109.74162705679815	6.873618704362916	False
m2_region_00040__sub01	EUR	medium	14.8696	60606	A.3	75.6579721645914	4.940414788611625	False
m2_region_00040__sub02	AFR	medium	10.9348	77376	A.3	99.04181841876033	6.570281008251198	False
m2_region_00040__sub02	EUR	medium	14.9348	56554	A.3	65.61866516234761	4.283097557211274	False
m2_region_00040__sub03	AFR	medium	10.9348	74359	A.3	99.04181841876033	6.067900855024452	False
m2_region_00040__sub03	EUR	medium	14.9348	56079	A.3	65.61866516234761	4.211451784174854	False
m2_region_00040__sub04	AFR	medium	10.9348	77602	A.3	99.04181841876033	6.6087180438554975	False
m2_region_00040__sub04	EUR	medium	14.9348	56644	A.3	65.61866516234761	4.296740641891157	False
m2_region_00040__sub05	AFR	medium	10.9348	80813	A.3	109.74162705679815	7.166941398245506	False
m2_region_00040__sub05	EUR	medium	14.9348	59854	A.3	75.3275492935113	4.797529679556606	False
m2_region_00040__sub06	AFR	medium	10.9348	79872	A.3	109.74162705679815	7.001007026482026	False
m2_region_00040__sub06	EUR	medium	14.9348	60594	A.3	75.3275492935113	4.916890727848261	False
m2_region_00040__sub07	AFR	medium	10.9348	80410	A.3	109.74162705679815	7.0956391146594235	False
m2_region_00040__sub07	EUR	medium	14.9348	60506	A.3	75.3275492935113	4.9026196055849525	False
m2_region_00040__sub08	AFR	medium	10.9348	79165	A.3	109.74162705679815	6.877614463946446	False
m2_region_00040__sub08	EUR	medium	14.9348	59562	A.3	75.3275492935113	4.750834001851384	False
m2_region_00040__sub09	AFR	medium	10.9348	75058	A.3	99.04181841876033	6.182517735207171	False
m2_region_00040__sub09	EUR	medium	14.9348	57302	A.3	65.61866516234761	4.3971458612533505	False
m2_region_00040__sub10	AFR	medium	10.9348	75741	A.3	99.04181841876033	6.295546910841788	False
m2_region_00040__sub10	EUR	medium	14.9348	61318	A.3	75.3275492935113	5.035090416829179	False
m2_region_00040__sub11	AFR	medium	10.9348	78420	A.3	109.74162705679815	6.7487768884133414	False
m2_region_00040__sub11	EUR	medium	14.9348	60315	A.3	75.3275492935113	4.871716145706916	False
m2_region_00040__sub12	AFR	medium	10.9348	81178	A.3	109.74162705679815	7.2318280173117415	False
m2_region_00040__sub12	EUR	medium	14.9348	64424	A.3	85.70601164061729	5.558104191057448	False
m2_region_00040__sub13	AFR	medium	10.9348	79643	A.3	109.74162705679815	6.960919578866506	False
m2_region_00040__sub13	EUR	medium	14.9348	59852	A.3	75.3275492935113	4.797209069436936	False
m2_region_00040__sub14	AFR	medium	10.9348	75497	A.3	99.04181841876033	6.255049976611316	False
m2_region_00040__sub14	EUR	medium	14.9348	59661	A.3	75.3275492935113	4.766640168331963	False
m2_region_00040__sub15	AFR	medium	10.9348	77816	A.3	99.04181841876033	6.6452175076304725	False
m2_region_00040__sub15	EUR	medium	14.9348	58732	A.3	75.3275492935113	4.619350239960093	False
m2_region_00040__sub16	AFR	medium	10.9348	83839	A.3	120.99014383011996	7.713714735968504	False
m2_region_00040__sub16	EUR	medium	14.8696	60491	A.3	75.65791110726731	4.921679711883914	False
m2_region_00040__sub17	AFR	medium	7.9348	60467	A.2	85.0684460717093	5.529461227881732	False
m2_region_00040__sub17	EUR	medium	9.9348	41638	A.2	60.5	3.467446088	False
