source_tag	url	target_dir	filename	requires_cookie_env	sha256_expected	trait	ancestry	consortium	year
GIANT2018_BMI_EUR	https://giant-consortium.web.broadinstitute.org/images/c/c8/Meta-analysis_Locke_et_al%2BUKBiobank_2018_UPDATED.txt.gz	data/raw/sumstats_v2/GIANT2018/BMI/EUR	Meta-analysis_Locke_et_al+UKBiobank_2018_UPDATED.txt.gz	NONE	UNKNOWN	bmi	EUR	GIANT-UKBB	2018
Loh2022_BMI_EUR	PENDING_D01_ACCESSION	data/raw/sumstats_v2/Loh2022/BMI/EUR	Loh2022_BMI_EUR.tsv.gz	NONE	UNKNOWN	bmi	EUR	GIANT-23andMe	2022
Loh2022_BMI_AFR	PENDING_D01_ACCESSION	data/raw/sumstats_v2/Loh2022/BMI/AFR	Loh2022_BMI_AFR.tsv.gz	NONE	UNKNOWN	bmi	AFR	GIANT-23andMe	2022
PAGE2019_BMI_AFR	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008025/WojcikG_PMID_invn_rbmi_alls.gz	data/raw/sumstats_v2/PAGE2019/BMI/AFR	WojcikG_PMID_invn_rbmi_alls.gz	NONE	UNKNOWN	bmi	AFR	PAGE	2019
DIAMANTE2022_T2D_TRANS	https://diagram-consortium.org/downloads/DIAMANTE2022/DIAMANTE-TA.sumstat.txt.gz	data/raw/sumstats_v2/DIAMANTE2022/T2D/TRANS	DIAMANTE-TA.sumstat.txt.gz	DIAMANTE_COOKIE	UNKNOWN	t2d	TRANS	DIAMANTE	2022
DIAMANTE2022_T2D_EUR	https://diagram-consortium.org/downloads/DIAMANTE2022/DIAMANTE-EUR.sumstat.txt.gz	data/raw/sumstats_v2/DIAMANTE2022/T2D/EUR	DIAMANTE-EUR.sumstat.txt.gz	DIAMANTE_COOKIE	UNKNOWN	t2d	EUR	DIAMANTE	2022
DIAMANTE2022_T2D_EAS	https://diagram-consortium.org/downloads/DIAMANTE2022/DIAMANTE-EAS.sumstat.txt.gz	data/raw/sumstats_v2/DIAMANTE2022/T2D/EAS	DIAMANTE-EAS.sumstat.txt.gz	DIAMANTE_COOKIE	UNKNOWN	t2d	EAS	DIAMANTE	2022
DIAMANTE2022_T2D_SAS	https://diagram-consortium.org/downloads/DIAMANTE2022/DIAMANTE-SAS.sumstat.txt.gz	data/raw/sumstats_v2/DIAMANTE2022/T2D/SAS	DIAMANTE-SAS.sumstat.txt.gz	DIAMANTE_COOKIE	UNKNOWN	t2d	SAS	DIAMANTE	2022
GIGASTROKE2022_stroke_TRANS	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104534/GCST90104534_buildGRCh37.tsv.gz	data/raw/sumstats_v2/GIGASTROKE2022/stroke/TRANS	GCST90104534_buildGRCh37.tsv.gz	NONE	UNKNOWN	stroke	TRANS	GIGASTROKE	2022
GIGASTROKE2022_stroke_EUR	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104539/GCST90104539_buildGRCh37.tsv.gz	data/raw/sumstats_v2/GIGASTROKE2022/stroke/EUR	GCST90104539_buildGRCh37.tsv.gz	NONE	UNKNOWN	stroke	EUR	GIGASTROKE	2022
GIGASTROKE2022_stroke_AFR	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104549/GCST90104549_buildGRCh37.tsv.gz	data/raw/sumstats_v2/GIGASTROKE2022/stroke/AFR	GCST90104549_buildGRCh37.tsv.gz	NONE	UNKNOWN	stroke	AFR	GIGASTROKE	2022
GIGASTROKE2022_stroke_EAS	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104544/GCST90104544_buildGRCh37.tsv.gz	data/raw/sumstats_v2/GIGASTROKE2022/stroke/EAS	GCST90104544_buildGRCh37.tsv.gz	NONE	UNKNOWN	stroke	EAS	GIGASTROKE	2022
GBMI2022_asthma_MULTI	PENDING_PORTAL_GBMI	data/raw/sumstats_v2/GBMI2022/asthma/MULTI	Asthma_Bothsex_inv_var_meta_GBMI_052021.txt.gz	NONE	UNKNOWN	asthma	MULTI	GBMI	2022
GBMI2022_asthma_EUR	PENDING_PORTAL_GBMI	data/raw/sumstats_v2/GBMI2022/asthma/EUR	Asthma_Bothsex_inv_var_meta_GBMI_EUR_052021.txt.gz	NONE	UNKNOWN	asthma	EUR	GBMI	2022
GBMI2022_asthma_AFR	PENDING_PORTAL_GBMI	data/raw/sumstats_v2/GBMI2022/asthma/AFR	Asthma_Bothsex_inv_var_meta_GBMI_AFR_052021.txt.gz	NONE	UNKNOWN	asthma	AFR	GBMI	2022
MAGIC2021_HbA1c_TRANS	https://magicinvestigators.org/downloads/MAGIC1000G_HbA1c_TA.tsv.gz	data/raw/sumstats_v2/MAGIC2021/HbA1c/TRANS	MAGIC1000G_HbA1c_TA.tsv.gz	NONE	UNKNOWN	HbA1c	TRANS	MAGIC	2021
MAGIC2021_HbA1c_EUR	https://magicinvestigators.org/downloads/MAGIC1000G_HbA1c_EUR.tsv.gz	data/raw/sumstats_v2/MAGIC2021/HbA1c/EUR	MAGIC1000G_HbA1c_EUR.tsv.gz	NONE	UNKNOWN	HbA1c	EUR	MAGIC	2021
MAGIC2021_HbA1c_AFR	https://magicinvestigators.org/downloads/MAGIC1000G_HbA1c_AA.tsv.gz	data/raw/sumstats_v2/MAGIC2021/HbA1c/AFR	MAGIC1000G_HbA1c_AA.tsv.gz	NONE	UNKNOWN	HbA1c	AFR	MAGIC	2021
MAGIC2021_HbA1c_EAS	https://magicinvestigators.org/downloads/MAGIC1000G_HbA1c_EAS.tsv.gz	data/raw/sumstats_v2/MAGIC2021/HbA1c/EAS	MAGIC1000G_HbA1c_EAS.tsv.gz	NONE	UNKNOWN	HbA1c	EAS	MAGIC	2021
MAGIC2021_HbA1c_SAS	https://magicinvestigators.org/downloads/MAGIC1000G_HbA1c_SAS.tsv.gz	data/raw/sumstats_v2/MAGIC2021/HbA1c/SAS	MAGIC1000G_HbA1c_SAS.tsv.gz	NONE	UNKNOWN	HbA1c	SAS	MAGIC	2021
MAGIC2021_HbA1c_HIS	https://magicinvestigators.org/downloads/MAGIC1000G_HbA1c_HISP.tsv.gz	data/raw/sumstats_v2/MAGIC2021/HbA1c/HIS	MAGIC1000G_HbA1c_HISP.tsv.gz	NONE	UNKNOWN	HbA1c	HIS	MAGIC	2021
Klarin2018_CAD_AFR	PENDING_D03_FALLBACK_RESOLUTION	data/raw/sumstats_v2/MVP-CHARGE2018/CAD/AFR	Klarin2018_MVP-AFR-CAD.tsv.gz	NONE	UNKNOWN	CAD	AFR	MVP-CHARGE	2018
