pathway	magma_beta	magma_p	magma_q	gprofiler_p	gprofiler_q	ldsc_h2_frac	ldsc_enrichment	ldsc_p	n_methods_significant	geometric_mean_p	consensus_rank
BLUEPRINT_H3K27acQTL_MaxCPPL2_0	NA	NA	NA	NA	NA	0.138141	8.3491	0.000000	1	0.000000	1
Backgrd_Selection_StatL2_0	NA	NA	NA	NA	NA	0.246139	1.3850	0.000000	1	0.000000	2
BivFlnkL2_0	NA	NA	NA	NA	NA	0.086045	6.3505	0.000000	1	0.000000	3
CUSTOM_APPETITE_REGULATION	2.7508	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	4
Coding_UCSCL2_0	NA	NA	NA	NA	NA	0.078995	5.5400	0.000000	1	0.000000	5
Conserved_LindbladTohL2_0	NA	NA	NA	NA	NA	0.209738	8.5016	0.000000	1	0.000000	6
Conserved_Mammal_phastCons46wayL2_0	NA	NA	NA	NA	NA	0.189769	8.8514	0.000000	1	0.000000	7
Conserved_Primate_phastCons46wayL2_0	NA	NA	NA	NA	NA	0.214704	11.1424	0.000000	1	0.000000	8
Conserved_Vertebrate_phastCons46wayL2_0	NA	NA	NA	NA	NA	0.161198	5.4762	0.000000	1	0.000000	9
CpG_Content_50kbL2_0	NA	NA	NA	NA	NA	0.012549	1.2484	0.000000	1	0.000000	10
DHS_peaks_TrynkaL2_0	NA	NA	NA	NA	NA	0.408186	3.7121	0.000000	1	0.000000	11
FetalDHS_TrynkaL2_0	NA	NA	NA	NA	NA	0.353647	4.2260	0.000000	1	0.000000	12
GERP.NSL2_0	NA	NA	NA	NA	NA	3.083363	1.7666	0.000000	1	0.000000	13
GOBP_ADAPTIVE_IMMUNE_RESPONS...	0.3866	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	14
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.3450	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	15
GOBP_ALPHA_BETA_T_CELL_ACTIV...	0.5149	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	16
GOBP_ALPHA_BETA_T_CELL_DIFFE...	0.6811	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	17
GOBP_B_CELL_ACTIVATION	0.3687	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	18
GOBP_B_CELL_ACTIVATION_INVOL...	0.5402	0.000000	0.000017	NA	NA	NA	NA	NA	1	0.000000	19
GOBP_CARBOHYDRATE_HOMEOSTASIS	0.4425	0.000000	0.000258	NA	NA	NA	NA	NA	1	0.000000	20
GOBP_CARDIAC_RIGHT_VENTRICLE...	1.7130	0.000000	0.000097	NA	NA	NA	NA	NA	1	0.000000	21
GOBP_CD4_POSITIVE_ALPHA_BETA...1	0.5526	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	22
GOBP_CELLULAR_RESPONSE_TO_IN...9	2.3687	0.000000	0.000013	NA	NA	NA	NA	NA	1	0.000000	23
GOBP_CELL_ACTIVATION	0.2716	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	24
GOBP_CELL_ACTIVATION_INVOLVE...	0.3456	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	25
GOBP_CELL_SURFACE_RECEPTOR_S...1	0.5804	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	26
GOBP_CELL_SURFACE_RECEPTOR_S...2	0.4976	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	27
GOBP_CIRCULATORY_SYSTEM_DEVE...	0.2790	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	28
GOBP_CYTOKINE_MEDIATED_SIGNA...	0.3004	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	29
GOBP_CYTOKINE_PRODUCTION	0.2465	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	30
GOBP_GENERATION_OF_NEURONS	0.2056	0.000000	0.000071	NA	NA	NA	NA	NA	1	0.000000	31
GOBP_GLIAL_CELL_ACTIVATION	0.7169	0.000000	0.000034	NA	NA	NA	NA	NA	1	0.000000	32
GOBP_GROWTH	0.1955	0.000000	0.000118	NA	NA	NA	NA	NA	1	0.000000	33
GOBP_HEART_DEVELOPMENT	0.3684	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	34
GOBP_HEMOPOIESIS	0.2116	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	35
GOBP_IMMUNE_EFFECTOR_PROCESS	0.2949	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	36
GOBP_IMMUNOGLOBULIN_PRODUCTI...1	0.5111	0.000000	0.000016	NA	NA	NA	NA	NA	1	0.000000	37
GOBP_INFLAMMATORY_RESPONSE	0.1776	0.000000	0.000049	NA	NA	NA	NA	NA	1	0.000000	38
GOBP_INTERLEUKIN_10_PRODUCTI...	0.8126	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	39
GOBP_INTERLEUKIN_13_MEDIATED...	2.9364	0.000000	0.000008	NA	NA	NA	NA	NA	1	0.000000	40
GOBP_INTERLEUKIN_2_PRODUCTION	0.5929	0.000000	0.000046	NA	NA	NA	NA	NA	1	0.000000	41
GOBP_INTERLEUKIN_4_MEDIATED_...	1.6439	0.000000	0.000004	NA	NA	NA	NA	NA	1	0.000000	42
GOBP_LEUKOCYTE_CELL_CELL_ADH...	0.2956	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	43
GOBP_LEUKOCYTE_DIFFERENTIATI...	0.3226	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	44
GOBP_LEUKOCYTE_MEDIATED_IMMU...	0.2946	0.000000	0.000003	NA	NA	NA	NA	NA	1	0.000000	45
GOBP_LEUKOCYTE_PROLIFERATION	0.3674	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	46
GOBP_LYMPHOCYTE_ACTIVATION	0.3191	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	47
GOBP_LYMPHOCYTE_ACTIVATION_I...	0.3937	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	48
GOBP_LYMPHOCYTE_DIFFERENTIAT...	0.3910	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	49
GOBP_LYMPHOCYTE_MEDIATED_IMM...	0.3486	0.000000	0.000003	NA	NA	NA	NA	NA	1	0.000000	50
GOBP_MONONUCLEAR_CELL_DIFFER...	0.3711	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	51
GOBP_MYELOID_LEUKOCYTE_ACTIV...	0.3525	0.000000	0.000008	NA	NA	NA	NA	NA	1	0.000000	52
GOBP_NEGATIVE_REGULATION_OF_...167	0.3138	0.000000	0.000026	NA	NA	NA	NA	NA	1	0.000000	53
GOBP_NEGATIVE_REGULATION_OF_...17	1.1038	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	54
GOBP_NEGATIVE_REGULATION_OF_...291	0.2565	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	55
GOBP_NEGATIVE_REGULATION_OF_...455	0.2777	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	56
GOBP_NEGATIVE_REGULATION_OF_...567	0.2653	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	57
GOBP_NEGATIVE_REGULATION_OF_...631	0.2886	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	58
GOBP_NEGATIVE_REGULATION_OF_...88	1.0135	0.000000	0.000035	NA	NA	NA	NA	NA	1	0.000000	59
GOBP_NEUROGENESIS	0.1870	0.000000	0.000088	NA	NA	NA	NA	NA	1	0.000000	60
GOBP_POSITIVE_REGULATION_OF_...107	0.4200	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	61
GOBP_POSITIVE_REGULATION_OF_...175	0.2983	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	62
GOBP_POSITIVE_REGULATION_OF_...324	0.4050	0.000000	0.000005	NA	NA	NA	NA	NA	1	0.000000	63
GOBP_POSITIVE_REGULATION_OF_...339	0.3448	0.000000	0.000018	NA	NA	NA	NA	NA	1	0.000000	64
GOBP_POSITIVE_REGULATION_OF_...340	0.1968	0.000000	0.000019	NA	NA	NA	NA	NA	1	0.000000	65
GOBP_POSITIVE_REGULATION_OF_...341	0.2241	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	66
GOBP_POSITIVE_REGULATION_OF_...342	0.6713	0.000000	0.000035	NA	NA	NA	NA	NA	1	0.000000	67
GOBP_POSITIVE_REGULATION_OF_...354	0.9861	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	68
GOBP_POSITIVE_REGULATION_OF_...391	0.3704	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	69
GOBP_POSITIVE_REGULATION_OF_...396	0.5144	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	70
GOBP_POSITIVE_REGULATION_OF_...487	0.1570	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	71
GOBP_POSITIVE_REGULATION_OF_...567	0.7430	0.000000	0.000019	NA	NA	NA	NA	NA	1	0.000000	72
GOBP_POSITIVE_REGULATION_OF_...66	0.5513	0.000000	0.000026	NA	NA	NA	NA	NA	1	0.000000	73
GOBP_POSITIVE_REGULATION_OF_...670	0.2625	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	74
GOBP_POSITIVE_REGULATION_OF_...748	0.2985	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	75
GOBP_POSITIVE_REGULATION_OF_...784	0.5451	0.000000	0.000020	NA	NA	NA	NA	NA	1	0.000000	76
GOBP_POSITIVE_T_CELL_SELECTI...	0.7827	0.000000	0.000004	NA	NA	NA	NA	NA	1	0.000000	77
