Region	Gene	Trait Pair	PP.H4 (identity)	PP.H4 (real)	Delta	n_cs_a (ident)	n_cs_a (real)	Outcome
APOL1_22q12	APOL1	asthma–stroke	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
APOL1_22q12	APOL1	asthma–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
APOL1_22q12	APOL1	stroke–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
CXADR_F2RL1_6p21	CXADR/F2RL1	bmi–stroke	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	asthma–bmi	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	asthma–hypertension	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	asthma–stroke	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	asthma–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	bmi–hypertension	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	bmi–stroke	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	bmi–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	hypertension–stroke	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	hypertension–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
FTO_16q12	FTO	stroke–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
MC4R_18q21	MC4R	asthma–stroke	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
SH2B3_12q24	SH2B3	asthma–t2d	_empty_ (Stage 2)	_empty_ (Stage 2)	—	n/a	n/a	both-null (real-LD PP.H4 empty; identity-LD trait-pair coloc.susie comparator absent)
