region	trait_pair	eur_h4	afr_h4	expected_afr	residual	power_ratio	classification
12:13750000-21250000	t2d-stroke	0.9264	0.0455	0.6070	-0.5615	0.594	POWER_LIMITED
17:17750000-20250000	t2d-stroke	0.7446	0.0122	0.5039	-0.4917	0.634	POWER_LIMITED
11:42750000-44250000	t2d-stroke	0.7409	0.0040	0.4687	-0.4647	0.554	POWER_LIMITED
3:120750000-126250000	t2d-stroke	0.6812	0.0278	0.4644	-0.4366	0.643	POWER_LIMITED
7:91750000-94250000	t2d-stroke	0.6629	0.0064	0.4681	-0.4617	0.690	POWER_LIMITED
15:70750000-84250000	t2d-stroke	0.6071	0.0373	0.4284	-0.3911	0.689	POWER_LIMITED
18:18750000-25250000	t2d-stroke	0.4923	0.0092	0.3367	-0.3275	0.648	CONCORDANT_NULL
9:135750000-138250000	t2d-stroke	0.3694	0.0236	0.2473	-0.2237	0.620	CONCORDANT_NULL
1:55750000-58250000	t2d-stroke	0.3359	0.0442	0.2274	-0.1832	0.634	CONCORDANT_NULL
16:8750000-13250000	t2d-stroke	0.3264	0.0077	0.2249	-0.2172	0.657	CONCORDANT_NULL
12:3750000-6250000	t2d-stroke	0.2572	0.0461	0.1795	-0.1334	0.674	CONCORDANT_NULL
3:149750000-151250000	t2d-stroke	0.2220	0.0526	0.1623	-0.1097	0.740	MODERATE_BOTH
11:75750000-79250000	t2d-asthma	0.2109	0.0289	0.1793	-0.1504	68.767	CONCORDANT_NULL
2:225750000-231250000	t2d-asthma	0.1645	0.0277	0.1398	-0.1121	65.110	CONCORDANT_NULL
10:113750000-117250000	t2d-stroke	0.1301	0.1219	0.0868	0.0351	0.617	AFR_ENRICHED
4:84750000-87250000	t2d-stroke	0.1175	0.0085	0.0807	-0.0722	0.653	CONCORDANT_NULL
11:91750000-94250000	t2d-stroke	0.1170	0.0133	0.0850	-0.0717	0.730	CONCORDANT_NULL
19:20750000-23250000	t2d-asthma	0.0905	0.0211	0.0769	-0.0558	53.395	CONCORDANT_NULL
4:0-4250000	t2d-stroke	0.0880	0.0108	0.0604	-0.0496	0.652	CONCORDANT_NULL
