Region	Trait_Pair	H4	Top_Gene	Priority_Score	pLI	Disease_Relevance	Druggable	Drug	Pathway	Mechanism	All_Genes_Ranked
4:100750000-107250000	bmi-hypertension	1.0000	SLC39A8	0.363	0.62	0.70	False		Metal_transport	Zinc/manganese transporter	SLC39A8(0.36); BANK1(0.14); MANBA(0.11)
1:76750000-81250000	bmi-hypertension	1.0000	PIGC	0.150	N/A	0.00	False				PIGC(0.15); ST6GALNAC3(0.15)
10:113750000-117250000	bmi-t2d	1.0000	TCF7L2	0.819	0.99	1.00	False		Wnt_signaling	Transcription factor regulating insulin secretion	TCF7L2(0.82)
18:59750000-61250000	bmi-t2d	1.0000	MC4R region	0.150	N/A	0.00	False				MC4R region(0.15); PMAIP1(0.15)
5:72750000-78250000	bmi-hypertension	0.9999	PDE8B	0.150	N/A	0.00	False				PDE8B(0.15); ZBED3(0.15)
18:49750000-59250000	bmi-t2d	0.9990	MC4R	0.669	0.97	1.00	True	Setmelanotide (FDA approved for genetic obesity)	Appetite_regulation	Melanocortin 4 receptor - satiety signaling	MC4R(0.67); MC4R region(0.15); PMAIP1(0.15)
18:59750000-61250000	bmi-hypertension	0.9975	MC4R region	0.150	N/A	0.00	False				MC4R region(0.15); PMAIP1(0.15)
18:59750000-61250000	t2d-hypertension	0.9967	MC4R region	0.150	N/A	0.00	False				MC4R region(0.15); PMAIP1(0.15)
12:107750000-117250000	hypertension-stroke	0.9910	SH2B3	0.676	0.68	0.90	False		JAK_STAT	Adaptor protein in cytokine signaling	SH2B3(0.68); ATXN2(0.24)
5:171750000-174250000	bmi-hypertension	0.9886	CPEB4	0.150	N/A	0.00	False				CPEB4(0.15)
9:135750000-138250000	hypertension-stroke	0.9881	ABO	0.544	0.32	0.80	False		Blood_group	ABO glycosyltransferase	ABO(0.54)
1:106750000-111250000	bmi-hypertension	0.9853	SORT1	0.552	0.75	0.80	False		Lipid_transport	Sortilin - intracellular sorting	SORT1(0.55); CELSR2(0.40); PSRC1(0.32)
2:225750000-231250000	t2d-hypertension	0.9826	IRS1	0.781	0.9	1.00	False		Insulin_signaling	Insulin receptor substrate 1	IRS1(0.78)
16:48750000-55250000	bmi-t2d	0.9814	FTO	0.477	0.78	1.00	False		RNA_modification	Demethylase (regulatory effect via IRX3/IRX5)	FTO(0.48)
11:0-5250000	hypertension-stroke	0.9772	KCNQ1	0.150	N/A	0.00	False				KCNQ1(0.15)
15:89750000-97250000	hypertension-stroke	0.9660	FES	0.150	N/A	0.00	False				FES(0.15); FURIN(0.15)
7:128750000-132250000	bmi-t2d	0.9648	LEP	0.816	0.6	1.00	True	Metreleptin (for lipodystrophy)	Appetite_regulation	Leptin - satiety hormone	LEP(0.82); PAX4(0.15)
11:42750000-44250000	bmi-t2d	0.9569	LRRC4C	0.150	N/A	0.00	False				LRRC4C(0.15)
17:8750000-10250000	bmi-t2d	0.9512	SLC16A13	0.150	N/A	0.00	False				SLC16A13(0.15); SLC16A11(0.15)
14:96750000-105250000	bmi-t2d	0.9487	MARK3	0.150	N/A	0.00	False				MARK3(0.15)
7:23750000-29250000	hypertension-stroke	0.9454	JAZF1	0.150	N/A	0.00	False				JAZF1(0.15)
1:55750000-58250000	t2d-hypertension	0.9195	PCSK9	0.787	0.58	1.00	True	Evolocumab, Alirocumab (PCSK9 inhibitors)	Cholesterol	LDL receptor degradation	PCSK9(0.79); BSND(0.15)
3:60750000-67250000	hypertension-stroke	0.8809	ADAMTS9	0.150	N/A	0.00	False				ADAMTS9(0.15)
18:62750000-64250000	t2d-hypertension	0.8777	BCL2	0.150	N/A	0.00	False				BCL2(0.15)
1:111750000-114250000	bmi-t2d	0.8599	SORT1	0.362	0.75	0.00	False		Lipid_transport	Sortilin - intracellular sorting	SORT1(0.36); CELSR2(0.33); PSRC1(0.28)
11:15750000-19250000	bmi-t2d	0.8500	KCNJ11	0.908	0.88	1.00	True	Sulfonylureas (glyburide, glimepiride)	Insulin_secretion	K-ATP channel subunit in beta cells	KCNJ11(0.91); ABCC8(0.90)
18:62750000-64250000	bmi-t2d	0.8202	BCL2	0.150	N/A	0.00	False				BCL2(0.15)
6:16750000-36250000	hypertension-stroke	0.8015	HLA region	0.150	N/A	0.00	False				HLA region(0.15); MHC(0.15); CDKAL1(0.15)
