region_id,ancestry,chr,start,end,lead_snp,gene,trait_list,source,canonical_pairs
FTO_16q12,EUR,16,53800000,54400000,rs9939609,FTO,"bmi;t2d;htn",GIANT,"bmi_vs_hypertension;bmi_vs_t2d;hypertension_vs_t2d"
MC4R_18q21,EUR,18,56000000,56600000,rs17782313,MC4R,"bmi;t2d",GIANT,"bmi_vs_t2d"
SH2B3_12q24,EUR,12,111400000,112000000,rs3184504,SH2B3,"htn;stroke;cad",BP_meta,"asthma_vs_bmi;asthma_vs_hypertension;asthma_vs_stroke;bmi_vs_hypertension;bmi_vs_stroke;bmi_vs_t2d;hypertension_vs_stroke;hypertension_vs_t2d;stroke_vs_t2d"
APOL1_22q12,EUR,22,36200000,36600000,G1/G2,APOL1,"htn;ckd;stroke?",APOL1_literature,"hypertension_vs_stroke"
PYHIN1_1q23,EUR,1,158000000,162000000,rsX,PYHIN1,"asthma",CAAPA,""
CXADR_F2RL1_6p21,EUR,6,10300000,11800000,NA,"CXADR/F2RL1","htn;obesity",AA_admixture,"bmi_vs_hypertension"
BMI_5q13.3,EUR,5,72000000,76000000,NA,NA,"bmi",AA_admixture,""
BMI_Xq24,EUR,X,118000000,122000000,NA,NA,"bmi",AA_admixture,""
9p21_CDKN2A,EUR,9,21000000,23000000,NA,CDKN2A,"t2d;stroke",G3_complex,""
APOE_19q13,EUR,19,44000000,46000000,NA,APOE,"t2d;htn",G3_complex,""
HLA_6p21,EUR,6,25000000,35000000,NA,HLA,asthma,G3_complex,""
SLC2A9_urate,EUR,4,9000000,11000000,NA,SLC2A9,htn,G3_complex,""
