region_id,chr,start_grch37,end_grch37,start_grch38,end_grch38,lead_snp,gene,trait_list,source,lift_status
FTO_16q12,16,53800000,54400000,53766088,54366088,rs9939609,FTO,bmi;t2d;htn,GIANT,OK
MC4R_18q21,18,56000000,56600000,58332768,58932768,rs17782313,MC4R,bmi;t2d,GIANT,OK
SH2B3_12q24,12,111400000,112000000,110962196,111562196,rs3184504,SH2B3,htn;stroke;cad,BP_meta,OK
APOL1_22q12,22,36200000,36600000,35803953,36203954,G1/G2,APOL1,htn;ckd;stroke?,APOL1_literature,OK
PYHIN1_1q23,1,158000000,162000000,158030210,162030210,rsX,PYHIN1,asthma,CAAPA,OK
CXADR_F2RL1_6p21,6,10300000,11800000,10299767,11799767,NA,CXADR/F2RL1,htn;obesity,AA_admixture,OK
BMI_5q13.3,5,72000000,76000000,72704173,76704175,NA,NA,bmi,AA_admixture,OK
BMI_Xq24,X,118000000,122000000,118866037,122866147,NA,NA,bmi,AA_admixture,OK
9p21_CDKN2A,9,21000000,23000000,21000001,23000001,NA,CDKN2A,t2d;stroke,G3_complex,OK
APOE_19q13,19,44000000,46000000,43495848,45496742,NA,APOE,t2d;htn,G3_complex,OK
HLA_6p21,6,25000000,35000000,24999772,35032223,NA,HLA,asthma,G3_complex,OK
SLC2A9_urate,4,9000000,11000000,8998274,10998376,NA,SLC2A9,htn,G3_complex,OK
