region_id,chr,start,end,parent_region
MC4R_18q21__tile1,18,57650000,57975000,MC4R_18q21
MC4R_18q21__tile2,18,57975000,58300000,MC4R_18q21
TMEM18_2p25__tile1,2,463877,877470,TMEM18_2p25
SEC16B_1q25.2__tile1,1,177693091,178153438,SEC16B_1q25.2
GNPDA2_4p12__tile1,4,44494190,44928651,GNPDA2_4p12
NEGR1_1p31.1__tile1,1,71561623,71936623,NEGR1_1p31.1
NEGR1_1p31.1__tile2,1,71936623,72311623,NEGR1_1p31.1
NEGR1_1p31.1__tile3,1,72311623,72686623,NEGR1_1p31.1
NEGR1_1p31.1__tile4,1,72686623,73048417,NEGR1_1p31.1
SH2B1_16p11.2__tile1,16,28507921,28872921,SH2B1_16p11.2
SH2B1_16p11.2__tile2,16,28872921,29235533,SH2B1_16p11.2
PCSK1_5q15__tile1,5,95526037,95969847,PCSK1_5q15
GPRC5B_16p12.3__tile1,16,19668013,20097495,GPRC5B_16p12.3
BMI_5q13.3__tile1,5,72000032,72340032,BMI_5q13.3
BMI_5q13.3__tile2,5,72340032,72680032,BMI_5q13.3
BMI_5q13.3__tile3,5,72680032,73020032,BMI_5q13.3
BMI_5q13.3__tile4,5,73020032,73360032,BMI_5q13.3
BMI_5q13.3__tile5,5,73360032,73700032,BMI_5q13.3
BMI_5q13.3__tile6,5,73700032,74040032,BMI_5q13.3
BMI_5q13.3__tile7,5,74040032,74380032,BMI_5q13.3
BMI_5q13.3__tile8,5,74380032,74720032,BMI_5q13.3
BMI_5q13.3__tile9,5,74720032,75060032,BMI_5q13.3
BMI_5q13.3__tile10,5,75060032,75400032,BMI_5q13.3
BMI_5q13.3__tile11,5,75400032,75740032,BMI_5q13.3
BMI_5q13.3__tile12,5,75740032,75999999,BMI_5q13.3
BMI_Xq24__tile1,X,118000000,122000000,BMI_Xq24
GCKR_2p23.3__tile1,2,27444706,27744706,GCKR_2p23.3
GCKR_2p23.3__tile2,2,27744706,28021551,GCKR_2p23.3
KCNJ11_ABCC8_11p15__tile1,11,17086719,17446719,KCNJ11_ABCC8_11p15
KCNJ11_ABCC8_11p15__tile2,11,17446719,17798441,KCNJ11_ABCC8_11p15
FADS1_11q12__tile1,11,61200000,61550000,FADS1_11q12
FADS1_11q12__tile2,11,61550000,61900000,FADS1_11q12
ACE_AGT_1q42__tile1,1,229500000,230000000,ACE_AGT_1q42
ACE_AGT_1q42__tile2,1,230000000,230500000,ACE_AGT_1q42
ACE_AGT_1q42__tile3,1,230500000,231000000,ACE_AGT_1q42
APOE_19q13__tile1,19,44900000,45300000,APOE_19q13
APOE_19q13__tile2,19,45300000,45700000,APOE_19q13
SH2B3_12q24__tile1,12,111400000,111750000,SH2B3_12q24
SH2B3_12q24__tile2,12,111750000,112100000,SH2B3_12q24
SH2B3_12q24__tile3,12,112100000,112300000,SH2B3_12q24
UMOD_16p12__tile1,16,20109132,20369132,UMOD_16p12
UMOD_16p12__tile2,16,20369132,20623429,UMOD_16p12
NOS3_7q36__tile1,7,150398000,150718000,NOS3_7q36
NOS3_7q36__tile2,7,150718000,151034000,NOS3_7q36
GUCY1A3_GUCY1B3_4q32__tile1,4,156100000,156470000,GUCY1A3_GUCY1B3_4q32
GUCY1A3_GUCY1B3_4q32__tile2,4,156470000,156840000,GUCY1A3_GUCY1B3_4q32
GUCY1A3_GUCY1B3_4q32__tile3,4,156840000,157200000,GUCY1A3_GUCY1B3_4q32
CYP17A1_NT5C2_10q24__tile1,10,103900000,104200000,CYP17A1_NT5C2_10q24
CYP17A1_NT5C2_10q24__tile2,10,104200000,104500000,CYP17A1_NT5C2_10q24
CYP17A1_NT5C2_10q24__tile3,10,104500000,104800000,CYP17A1_NT5C2_10q24
NPR3_C5orf23_5p13__tile1,5,31900000,32270000,NPR3_C5orf23_5p13
NPR3_C5orf23_5p13__tile2,5,32270000,32640000,NPR3_C5orf23_5p13
NPR3_C5orf23_5p13__tile3,5,32640000,33000000,NPR3_C5orf23_5p13
SLC4A7_3p24__tile1,3,26750000,27120000,SLC4A7_3p24
SLC4A7_3p24__tile2,3,27120000,27490000,SLC4A7_3p24
SLC4A7_3p24__tile3,3,27490000,27850000,SLC4A7_3p24
PLCE1_10q23__tile1,10,95550000,95850000,PLCE1_10q23
PLCE1_10q23__tile2,10,95850000,96150000,PLCE1_10q23
PLCE1_10q23__tile3,10,96150000,96450000,PLCE1_10q23
CDKN2A_B_9p21__tile1,9,21500000,21825000,CDKN2A_B_9p21
CDKN2A_B_9p21__tile2,9,21825000,22150000,CDKN2A_B_9p21
CDKN2A_B_9p21__tile3,9,22150000,22475000,CDKN2A_B_9p21
CDKN2A_B_9p21__tile4,9,22475000,22800000,CDKN2A_B_9p21
LPA_6q25.3__tile1,6,160600000,160970000,LPA_6q25.3
LPA_6q25.3__tile2,6,160970000,161340000,LPA_6q25.3
LPA_6q25.3__tile3,6,161340000,161700000,LPA_6q25.3
PCSK9_1p32__tile1,1,54750000,55100000,PCSK9_1p32
PCSK9_1p32__tile2,1,55100000,55450000,PCSK9_1p32
PCSK9_1p32__tile3,1,55450000,55550000,PCSK9_1p32
IL33_9p24.1__tile1,9,5900000,6250000,IL33_9p24.1
IL33_9p24.1__tile2,9,6250000,6600000,IL33_9p24.1
IL1RL1_IL18R1_2q12__tile1,2,102400000,102750000,IL1RL1_IL18R1_2q12
IL1RL1_IL18R1_2q12__tile2,2,102750000,103100000,IL1RL1_IL18R1_2q12
IL1RL1_IL18R1_2q12__tile3,2,103100000,103450000,IL1RL1_IL18R1_2q12
IL1RL1_IL18R1_2q12__tile4,2,103450000,103500000,IL1RL1_IL18R1_2q12
TSLP_5q22.1__tile1,5,110100000,110400000,TSLP_5q22.1
TSLP_5q22.1__tile2,5,110400000,110700000,TSLP_5q22.1
TSLP_5q22.1__tile3,5,110700000,111000000,TSLP_5q22.1
