Locus	Chr	Start	End	Ancestry	Trait_A	Trait_B	PP_H4	Genes
TCF7L2_10q25	10	114360126	115277378	EUR	bmi	t2d	1.0000	TCF7L2
SH2B3_12q24	12	111400000	112300000	EUR	bmi	stroke	0.9996	SH2B3
BMI_5q13.3	5	72000032	75999999	EUR	bmi	t2d	0.9995	intergenic/novel
GCKR_2p23.3	2	27444706	28021551	EUR	bmi	t2d	0.9994	GCKR
APOE_19q13	19	44900000	45700000	EUR	bmi	t2d	0.9989	APOE
SEC16B_1q25.2	1	177693091	178153438	EUR	bmi	t2d	0.9915	SEC16B
LPA_6q25.3	6	160600000	161700000	EUR	bmi	t2d	0.9904	LPA
GPRC5B_16p12.3	16	19668013	20097495	EUR	bmi	t2d	0.9713	GPRC5B
NEGR1_1p31.1	1	71561623	73048417	EUR	asthma	t2d	0.9667	NEGR1
KCNJ11_ABCC8_11p15	11	17086719	17798441	EUR	stroke	t2d	0.9662	KCNJ11
MC4R_18q21	18	57650000	58300000	EUR	bmi	t2d	0.9656	MC4R
FTO_16q12	16	53990523	54492267	EUR	asthma	t2d	0.9616	FTO
APOE_19q13	19	44900000	45700000	EUR	asthma	bmi	0.9501	APOE
KCNJ11_ABCC8_11p15	11	17086719	17798441	EUR	bmi	t2d	0.9476	KCNJ11
TMEM18_2p25	2	463877	877470	EUR	bmi	t2d	0.9255	TMEM18
FADS1_11q12	11	61200000	61900000	EUR	asthma	t2d	0.9183	FADS1
NEGR1_1p31.1	1	71561623	73048417	EUR	asthma	bmi	0.9134	NEGR1
FTO_16q12	16	53990523	54492267	EUR	asthma	bmi	0.8775	FTO
KCNJ11_ABCC8_11p15	11	17086719	17798441	EUR	bmi	stroke	0.8545	KCNJ11
UMOD_16p12	16	20109132	20623429	EUR	bmi	t2d	0.8438	UMOD
NEGR1_1p31.1	1	71561623	73048417	EUR	bmi	t2d	0.8387	NEGR1
