region_id	chr	start	end	size_kb	min_p	n_gwsig_variants
chr1_750000_4250000	1	750000	4250000	3500.0	1.96e-23	264
chr1_5750000_9250000	1	5750000	9250000	3500.0	3.70e-13	196
chr1_9750000_13250000	1	9750000	13250000	3500.0	5.05e-109	507
chr1_14750000_18250000	1	14750000	18250000	3500.0	2.75e-15	350
chr1_21750000_26250000	1	21750000	26250000	4500.0	6.94e-22	341
chr1_26750000_28250000	1	26750000	28250000	1500.0	1.28e-10	148
chr1_28750000_30250000	1	28750000	30250000	1500.0	3.45e-10	122
chr1_30750000_35250000	1	30750000	35250000	4500.0	4.50e-13	91
chr1_36750000_53250000	1	36750000	53250000	16500.0	7.20e-29	1839
chr1_53750000_55250000	1	53750000	55250000	1500.0	3.90e-12	15
chr1_55750000_58250000	1	55750000	58250000	2500.0	1.90e-09	26
chr1_58750000_60250000	1	58750000	60250000	1500.0	1.95e-09	1
chr1_61750000_63250000	1	61750000	63250000	1500.0	7.20e-23	31
chr1_64750000_68250000	1	64750000	68250000	3500.0	3.80e-13	200
chr1_71750000_76250000	1	71750000	76250000	4500.0	1.90e-57	252
chr1_76750000_81250000	1	76750000	81250000	4500.0	7.50e-38	383
chr1_81750000_83250000	1	81750000	83250000	1500.0	3.50e-15	32
chr1_84750000_86250000	1	84750000	86250000	1500.0	3.40e-08	1
chr1_88750000_91250000	1	88750000	91250000	2500.0	8.63e-11	102
chr1_91750000_95250000	1	91750000	95250000	3500.0	6.30e-12	192
chr1_95750000_99250000	1	95750000	99250000	3500.0	1.40e-35	436
chr1_106750000_111250000	1	106750000	111250000	4500.0	3.20e-38	119
chr1_111750000_114250000	1	111750000	114250000	2500.0	1.25e-43	302
chr1_114750000_121250000	1	114750000	121250000	6500.0	1.93e-23	179
chr1_144750000_147250000	1	144750000	147250000	2500.0	8.75e-12	111
chr1_149750000_157250000	1	149750000	157250000	7500.0	1.60e-17	373
chr1_160750000_162250000	1	160750000	162250000	1500.0	1.38e-13	7
chr1_163750000_165250000	1	163750000	165250000	1500.0	1.18e-11	5
