region_safe	curated_region_id	chr	curated_start_grch37	curated_end_grch37	m2_region_id	m2_window_start_grch37	m2_window_end_grch37	m2_core_start_grch37	m2_core_end_grch37	window_overlap_bp	core_overlap_bp	overlap_frac	n_containing_candidates	status
9p21_CDKN2A	9p21_CDKN2A	9	21000000	23000000	m2_region_00159	10000	26281227	10000	26281227	2000000	2000000	1.000000	1	contained
APOE_19q13	APOE_19q13	19	44000000	46000000	m2_region_00083	27732186	59117996	27732186	59117996	2000000	2000000	1.000000	1	contained
APOL1_22q12	APOL1_22q12	22	36200000	36600000	m2_region_00105	19541017	51244075	19541017	51244075	400000	400000	1.000000	1	contained
BMI_5q13_3	BMI_5q13.3	5	72000000	76000000	m2_region_00135	70017951	98666860	70017951	98666860	4000000	4000000	1.000000	1	contained
BMI_Xq24	BMI_Xq24	X	118000000	122000000						0	0	0.000000	0	unmapped
CXADR_F2RL1_6p21	CXADR_F2RL1_6p21	6	10300000	11800000	m2_region_00142	4043544	14189275	4043544	14189275	1500000	1500000	1.000000	1	contained
FTO_16q12	FTO_16q12	16	53800000	54400000	m2_region_00067	46425612	90294355	46425612	90294355	600000	600000	1.000000	1	contained
HLA_6p21	HLA_6p21	6	25000000	35000000	m2_region_00143	14557636	58780053	14557636	58780053	10000000	10000000	1.000000	1	contained
MC4R_18q21	MC4R_18q21	18	56000000	56600000	m2_region_00078	49285398	65791559	49285398	65791559	600000	600000	1.000000	1	contained
PYHIN1_1q23	PYHIN1_1q23	1	158000000	162000000	m2_region_00008	148904474	176201727	148904474	176201727	4000000	4000000	1.000000	1	contained
SH2B3_12q24	SH2B3_12q24	12	111400000	112000000	m2_region_00040__sub14	103944368	114923170	106944368	111923169	600000	523169	1.000000	2	contained
SLC2A9_urate	SLC2A9_urate	4	9000000	11000000	m2_region_00114	10000	33125671	10000	33125671	2000000	2000000	1.000000	1	contained
