pair_id	region	ancestry	trait_a	trait_b	imputed_h4	confidence	prob_signal	base_from_pair	region_bonus	ancestry_factor
chr11_0_5250000__EUR__bmi_vs_asthma	11:0-5250000	EUR	bmi	asthma	0.1908	moderate	0.000	0.0408	0.1500	1.0000
chr6_16750000_36250000__EUR__bmi_vs_asthma	6:16750000-36250000	EUR	bmi	asthma	0.1908	moderate	0.000	0.0408	0.1500	1.0000
chr18_0_2250000__EUR__bmi_vs_asthma	18:0-2250000	EUR	bmi	asthma	0.1908	moderate	0.000	0.0408	0.1500	1.0000
chr18_49750000_59250000__EUR__bmi_vs_asthma	18:49750000-59250000	EUR	bmi	asthma	0.1908	moderate	0.000	0.0408	0.1500	1.0000
chr18_59750000_61250000__EUR__hypertension_vs_asthma	18:59750000-61250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr18_49750000_59250000__EUR__hypertension_vs_asthma	18:49750000-59250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr7_0_4250000__EUR__hypertension_vs_asthma	7:0-4250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr6_16750000_36250000__EUR__hypertension_vs_asthma	6:16750000-36250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr14_96750000_105250000__EUR__hypertension_vs_asthma	14:96750000-105250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr13_109750000_113250000__EUR__hypertension_vs_asthma	13:109750000-113250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr9_26750000_32250000__EUR__hypertension_vs_asthma	9:26750000-32250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr13_64750000_68250000__EUR__hypertension_vs_asthma	13:64750000-68250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr12_0_3250000__EUR__hypertension_vs_asthma	12:0-3250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr18_0_2250000__EUR__hypertension_vs_asthma	18:0-2250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr2_0_1250000__EUR__hypertension_vs_asthma	2:0-1250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr11_0_5250000__EUR__hypertension_vs_asthma	11:0-5250000	EUR	hypertension	asthma	0.1869	high	0.013	0.0369	0.1500	1.0000
chr7_23750000_29250000__EUR__t2d_vs_asthma	7:23750000-29250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr10_101750000_108250000__EUR__t2d_vs_asthma	10:101750000-108250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr9_135750000_138250000__EUR__t2d_vs_asthma	9:135750000-138250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr18_49750000_59250000__EUR__t2d_vs_asthma	18:49750000-59250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr12_13750000_21250000__EUR__t2d_vs_asthma	12:13750000-21250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr15_89750000_97250000__EUR__t2d_vs_asthma	15:89750000-97250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr4_43750000_46250000__EUR__t2d_vs_asthma	4:43750000-46250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr3_69750000_71250000__EUR__t2d_vs_asthma	3:69750000-71250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr4_100750000_107250000__EUR__t2d_vs_asthma	4:100750000-107250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr14_96750000_105250000__EUR__t2d_vs_asthma	14:96750000-105250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr18_59750000_61250000__EUR__t2d_vs_asthma	18:59750000-61250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr7_88750000_91250000__EUR__t2d_vs_asthma	7:88750000-91250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr12_107750000_117250000__EUR__t2d_vs_asthma	12:107750000-117250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr2_0_1250000__EUR__t2d_vs_asthma	2:0-1250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr13_64750000_68250000__EUR__t2d_vs_asthma	13:64750000-68250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr1_106750000_111250000__EUR__t2d_vs_asthma	1:106750000-111250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr7_0_4250000__EUR__t2d_vs_asthma	7:0-4250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr11_15750000_19250000__EUR__t2d_vs_asthma	11:15750000-19250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr12_0_3250000__EUR__t2d_vs_asthma	12:0-3250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr6_16750000_36250000__EUR__t2d_vs_asthma	6:16750000-36250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr5_93750000_98250000__EUR__t2d_vs_asthma	5:93750000-98250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr9_26750000_32250000__EUR__t2d_vs_asthma	9:26750000-32250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr16_48750000_55250000__EUR__t2d_vs_asthma	16:48750000-55250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr18_0_2250000__EUR__t2d_vs_asthma	18:0-2250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr10_113750000_117250000__EUR__t2d_vs_asthma	10:113750000-117250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr3_60750000_67250000__EUR__t2d_vs_asthma	3:60750000-67250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr13_109750000_113250000__EUR__t2d_vs_asthma	13:109750000-113250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr18_18750000_25250000__EUR__t2d_vs_asthma	18:18750000-25250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr3_167750000_172250000__EUR__t2d_vs_asthma	3:167750000-172250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr2_134750000_136250000__EUR__t2d_vs_asthma	2:134750000-136250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr5_85750000_93250000__EUR__t2d_vs_asthma	5:85750000-93250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr11_0_5250000__EUR__t2d_vs_asthma	11:0-5250000	EUR	t2d	asthma	0.1689	high	0.003	0.0189	0.1500	1.0000
chr13_109750000_113250000__EUR__stroke_vs_asthma	13:109750000-113250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr18_18750000_25250000__EUR__stroke_vs_asthma	18:18750000-25250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr14_96750000_105250000__EUR__stroke_vs_asthma	14:96750000-105250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
