pair_id	region_id	chr	start	end	ancestry	trait_a	trait_b	path_a	path_b
chr1_750000_4250000__EUR__bmi_vs_t2d	chr1_750000_4250000	1	750000	4250000	EUR	bmi	t2d	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/t2d.EUR.tsv.bgz
chr1_750000_4250000__EUR__bmi_vs_hypertension	chr1_750000_4250000	1	750000	4250000	EUR	bmi	hypertension	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/hypertension.EUR.tsv.bgz
chr1_750000_4250000__EUR__bmi_vs_stroke	chr1_750000_4250000	1	750000	4250000	EUR	bmi	stroke	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/stroke.EUR.tsv.bgz
chr1_750000_4250000__EUR__bmi_vs_asthma	chr1_750000_4250000	1	750000	4250000	EUR	bmi	asthma	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/asthma.EUR.tsv.bgz
chr1_750000_4250000__EUR__t2d_vs_hypertension	chr1_750000_4250000	1	750000	4250000	EUR	t2d	hypertension	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/t2d.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/hypertension.EUR.tsv.bgz
chr1_750000_4250000__EUR__t2d_vs_stroke	chr1_750000_4250000	1	750000	4250000	EUR	t2d	stroke	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/t2d.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/stroke.EUR.tsv.bgz
chr1_750000_4250000__EUR__t2d_vs_asthma	chr1_750000_4250000	1	750000	4250000	EUR	t2d	asthma	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/t2d.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/asthma.EUR.tsv.bgz
chr1_750000_4250000__EUR__hypertension_vs_stroke	chr1_750000_4250000	1	750000	4250000	EUR	hypertension	stroke	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/hypertension.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/stroke.EUR.tsv.bgz
chr1_750000_4250000__EUR__hypertension_vs_asthma	chr1_750000_4250000	1	750000	4250000	EUR	hypertension	asthma	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/hypertension.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/asthma.EUR.tsv.bgz
chr1_750000_4250000__EUR__stroke_vs_asthma	chr1_750000_4250000	1	750000	4250000	EUR	stroke	asthma	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/stroke.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/asthma.EUR.tsv.bgz
chr1_5750000_9250000__EUR__bmi_vs_t2d	chr1_5750000_9250000	1	5750000	9250000	EUR	bmi	t2d	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/t2d.EUR.tsv.bgz
chr1_5750000_9250000__EUR__bmi_vs_hypertension	chr1_5750000_9250000	1	5750000	9250000	EUR	bmi	hypertension	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/hypertension.EUR.tsv.bgz
chr1_5750000_9250000__EUR__bmi_vs_stroke	chr1_5750000_9250000	1	5750000	9250000	EUR	bmi	stroke	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/stroke.EUR.tsv.bgz
chr1_5750000_9250000__EUR__bmi_vs_asthma	chr1_5750000_9250000	1	5750000	9250000	EUR	bmi	asthma	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/bmi.EUR.tsv.bgz	/share/clintonlab/ckclinto/admixmap/genome_wide/data_processed/harmonized_fixed/asthma.EUR.tsv.bgz
